name,short_code,type,region,district,latitude,longitude,zone
KATERERE,102472-8,public,Kagera,Ngara DC,-2.59913,30.60954,lake
KATESH,102473-6,public,Manyara,Hanang DC,-4.52109,35.37946,northern
KATESH PENTECOSTAL,112288-6,private,Manyara,Hanang DC,-4.52473,35.38627,northern
KATESHI,112039-3,private,Manyara,Hanang DC,-4.52523,35.38482,northern
KATETE,102474-4,public,Rukwa,Kalambo DC,-8.62538,31.50629,shighland
KATETE,115325-3,public,Kigoma,Uvinza DC,-5.09836,29.81534,central
KATETE,102475-1,public,Geita,Chato DC,-2.375205,31.685286,lake
KATETE,108849-1,public,Songwe,Tunduma TC,-9.256486,32.838614,shighland
KATIJI,111399-2,private,Mtwara,Masasi DC,,,southern
KATIKATI,102477-7,public,Manyara,Kiteto DC,-5.00634,36.34838,northern
KATINDIUKA,123134-9,public,Morogoro,Ifakara TC,-8.13961,36.70623,coastal
KATISUNGA,121485-7,public,Katavi,Nsimbo DC,-6.47248,31.09491,shighland
KATO AFRICAN HEALTH CARE,124933-3,private,Dar Es Salaam,Ubungo MC,-6.34545,39.36675,coastal
KATOMA,102481-9,public,Mwanza,Buchosa DC,-2.56798,32.3708,lake
KATOMA,102482-7,public,Geita,Geita DC,-2.53303,32.05973,lake
KATOMA,102480-1,public,Kagera,Bukoba DC,-1.29175,31.7616,lake
KATOME,124446-6,public,Geita,Bukombe DC,-3.40107,31.96497,lake
KATONGOLO,115057-2,public,Rukwa,Nkasi DC,-7.43002,30.64936,shighland
Katonto,102483-5,public,Rukwa,Sumbawanga DC,-8.228946,31.726507,shighland
KATORO,102484-3,public,Geita,Geita DC,-3.00863,31.93249,lake
KATORO,102485-0,public,Kagera,Bukoba DC,-1.39549,31.4958,lake
KATORO,115229-7,public,Geita,Geita DC,-3.00161,31.95964,lake
KATORO TCMC,102486-8,private,Geita,Geita DC,-3.00239,31.9257,lake
KATUKA,102487-6,public,Rukwa,Kalambo DC,-8.11485,31.52625,shighland
KATUMA,102488-4,public,Katavi,Tanganyika DC,-6.32127,30.70968,shighland
